CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.proxy.factory.cglib.CglibProxyFactory$InterceptorBridge;0.0;9.0;1.0;2.0;1.0;0.0;14.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.ProxyFactory$InterceptorInvocationHandler;0.0;8.0;1.0;2.0;1.0;0.0;14.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.provider.remoting.JaxRpcProvider;0.0;15.0;1.0;20.0;17.0;58.0;126.0;0.8333333333333334;0.9090909090909091;15.0;1.0
org.apache.commons.proxy.exception.InvokerException;0.0;4.0;3.0;0.0;0.0;0.0;19.0;1.0;0.0;4.0;2.0
org.apache.commons.proxy.interceptor.ExecutorInterceptor;0.0;16.0;1.0;9.0;8.0;0.0;42.0;0.0;0.0;16.0;1.0
org.apache.commons.proxy.invoker.XmlRpcInvoker;0.0;12.0;1.0;6.0;5.0;1.0;31.0;0.5;1.0;12.0;1.0
org.apache.commons.proxy.provider.remoting.HessianProvider;0.0;9.0;1.0;4.0;1.0;1.0;51.0;0.33333333333333337;0.5;9.0;1.0
org.apache.commons.proxy.interceptor.MethodInterceptorAdapter;0.0;10.0;1.0;2.0;1.0;0.0;47.0;0.0;0.0;10.0;1.0
org.apache.commons.proxy.exception.ProxyFactoryException;0.0;4.0;3.0;0.0;0.0;0.0;23.0;1.0;0.0;4.0;3.0
org.apache.commons.proxy.provider.remoting.BurlapProvider;0.0;9.0;1.0;4.0;1.0;1.0;51.0;0.33333333333333337;0.5;9.0;1.0
org.apache.commons.proxy.factory.util.MethodSignature;0.0;9.0;1.0;5.0;13.0;0.0;51.0;0.0;0.0;9.0;2.0
org.apache.commons.proxy.factory.cglib.CglibProxyFactory$ObjectProviderDispatcher;0.0;5.0;1.0;2.0;1.0;0.0;12.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.invoker.InvocationHandlerAdapter;0.0;6.0;1.0;2.0;1.0;0.0;12.0;0.0;0.0;6.0;1.0
org.apache.commons.proxy.interceptor.filter.ReturnTypeFilter;0.0;10.0;1.0;3.0;1.0;0.0;17.0;0.0;0.0;10.0;1.0
org.apache.commons.proxy.ProxyFactory$DelegatorInvocationHandler;0.0;8.0;1.0;4.0;1.0;0.0;18.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.provider.SingletonProvider;0.0;6.0;2.0;2.0;3.0;0.0;32.0;0.0;0.0;6.0;1.0
org.apache.commons.proxy.factory.cglib.CglibProxyFactory;0.0;26.0;3.0;11.0;3.0;0.0;141.0;0.0;0.0;26.0;1.0
org.apache.commons.proxy.factory.cglib.CglibProxyFactory$MethodProxyInvocation;0.0;7.0;1.0;5.0;4.0;4.0;33.0;0.625;0.8333333333333334;0.0;1.0
org.apache.commons.proxy.factory.javassist.JavassistUtils;0.0;18.0;1.0;18.0;10.0;14.0;113.0;0.7916666666666666;0.95;18.0;3.0
org.apache.commons.proxy.provider.ConstantProvider;1.0;3.0;1.0;1.0;1.0;0.0;24.0;0.0;0.0;3.0;2.0
org.apache.commons.proxy.ProxyFactory;1.0;22.0;1.0;14.0;11.0;21.0;210.0;1.0;0.0;22.0;4.0
org.apache.commons.proxy.provider.remoting.RmiProvider;0.0;14.0;1.0;10.0;5.0;8.0;114.0;0.5833333333333333;0.7;14.0;1.0
org.apache.commons.proxy.factory.javassist.JavassistProxyFactory$DelegatingProxyClassGenerator;0.0;17.0;2.0;17.0;3.0;0.0;35.0;1.0;0.0;0.0;1.0
org.apache.commons.proxy.interceptor.SerializingInterceptor;0.0;16.0;1.0;11.0;4.0;1.0;38.0;1.0;0.0;16.0;1.0
org.apache.commons.proxy.ProxyUtils;0.0;22.0;1.0;20.0;16.0;15.0;119.0;0.9444444444444444;1.1333333333333333;22.0;8.0
org.apache.commons.proxy.interceptor.filter.SimpleFilter;0.0;9.0;1.0;3.0;1.0;0.0;36.0;0.0;0.0;9.0;1.0
org.apache.commons.proxy.interceptor.InterceptorChain$ProxyObjectProvider;0.0;7.0;1.0;2.0;1.0;0.0;19.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.exception.ObjectProviderException;0.0;4.0;3.0;0.0;0.0;0.0;23.0;1.0;0.0;4.0;9.0
org.apache.commons.proxy.interceptor.filter.PatternFilter;0.0;6.0;1.0;4.0;2.0;1.0;39.0;0.5;1.0;6.0;1.0
org.apache.commons.proxy.factory.javassist.JavassistProxyFactory;0.0;26.0;3.0;7.0;3.0;3.0;184.0;0.6666666666666667;1.0;26.0;1.0
org.apache.commons.proxy.provider.ProviderDecorator;1.0;3.0;1.0;2.0;1.0;0.0;24.0;0.0;0.0;3.0;2.0
org.apache.commons.proxy.interceptor.LoggingInterceptor;0.0;16.0;1.0;24.0;19.0;5.0;140.0;0.25;0.3;16.0;1.0
org.apache.commons.proxy.interceptor.FilteredInterceptor;0.0;6.0;1.0;5.0;4.0;0.0;33.0;0.0;0.0;6.0;1.0
org.apache.commons.proxy.ProxyFactory$ReflectionInvocation;0.0;10.0;1.0;6.0;4.0;3.0;37.0;0.5;0.6666666666666666;0.0;1.0
org.apache.commons.proxy.interceptor.InterceptorChain;0.0;13.0;1.0;11.0;10.0;6.0;113.0;0.75;1.0;13.0;1.0
org.apache.commons.proxy.interceptor.MethodInterceptorAdapter$MethodInvocationAdapter;0.0;8.0;1.0;9.0;5.0;0.0;32.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.factory.util.AbstractProxyClassGenerator;0.0;15.0;1.0;15.0;9.0;0.0;42.0;1.0;0.0;15.0;2.0
org.apache.commons.proxy.provider.NullProvider;0.0;3.0;2.0;0.0;0.0;0.0;9.0;1.0;0.0;3.0;1.0
org.apache.commons.proxy.factory.util.ProxyClassCache;0.0;15.0;1.0;12.0;13.0;3.0;81.0;0.6666666666666667;1.0;15.0;2.0
org.apache.commons.proxy.factory.cglib.CglibProxyFactory$InvokerBridge;0.0;7.0;1.0;2.0;1.0;0.0;12.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.factory.util.AbstractSubclassingProxyFactory;2.0;14.0;2.0;21.0;29.0;10.0;122.0;1.0;0.0;14.0;3.0
org.apache.commons.proxy.provider.remoting.SessionBeanProvider;0.0;17.0;1.0;7.0;2.0;0.0;61.0;0.0;0.0;17.0;1.0
org.apache.commons.proxy.factory.javassist.JavassistProxyFactory$InterceptorProxyClassGenerator;0.0;18.0;2.0;17.0;3.0;0.0;40.0;1.0;0.0;0.0;1.0
org.apache.commons.proxy.provider.BeanProvider;0.0;11.0;1.0;4.0;3.0;0.0;57.0;0.0;0.0;11.0;1.0
org.apache.commons.proxy.invoker.NullInvoker;0.0;23.0;1.0;4.0;4.0;0.0;29.0;0.0;0.0;23.0;2.0
org.apache.commons.proxy.provider.CloningProvider;0.0;14.0;1.0;7.0;4.0;0.0;49.0;0.25;0.5;14.0;1.0
org.apache.commons.proxy.factory.javassist.JavassistProxyFactory$InvokerProxyClassGenerator;0.0;17.0;2.0;16.0;3.0;0.0;35.0;1.0;0.0;0.0;1.0
org.apache.commons.proxy.ProxyFactory$InvokerInvocationHandler;0.0;7.0;1.0;2.0;1.0;0.0;11.0;0.0;0.0;0.0;1.0
org.apache.commons.proxy.factory.cglib.CglibProxyFactory$PublicCallbackFilter;0.0;6.0;1.0;3.0;1.0;0.0;5.0;1.0;0.0;0.0;1.0
org.apache.commons.proxy.factory.javassist.JavassistInvocation;0.0;24.0;1.0;37.0;30.0;36.0;179.0;0.8888888888888888;1.0;24.0;2.0
org.apache.commons.proxy.invoker.DuckTypingInvoker;0.0;10.0;1.0;9.0;2.0;0.0;40.0;0.0;0.0;10.0;1.0